regions,region_name,pdf_1_mean,pdf_1_median,pdf_1_std,pdf_1_skew,pdf_1_kurt,mean_diff_low,mean_diff_mid,mean_diff_high,median_diff_low,median_diff_mid,median_diff_high,std_diff_low,std_diff_mid,std_diff_high,skew_diff_low,skew_diff_mid,skew_diff_high,kurt_diff_low,kurt_diff_mid,kurt_diff_high,ks_test_p,ad_test_p
1,Alaska,9.11,4.60,12.40,3.69,21.37,-0.83,-0.01,0.82,-0.5,0,0.5,-1.19,-0.01,1.23,-0.13,0.20,0.54,-2.04,3.14,9.01,0.229,0.076
2,U.S. Carribean,,,,,,,,,,,,,,,,,,,,,,
3,Hawaii and Pacific Islands,12.15,5.10,21.10,5.54,49.27,-1.70,-0.60,0.53,-0.8,0,0.5,-3.47,-1.66,0.08,-0.73,0.14,1.01,-12.90,5.59,24.52,0.089,0.010
4,Midwest,9.54,5.60,11.47,3.30,19.96,0.52,0.58,0.64,0,0,0.305,0.76,0.87,0.97,-0.08,0.03,0.14,-2.17,0.89,4.40,0.001,0.001
5,Northeast,9.40,5.60,11.00,3.40,23.87,0.38,0.48,0.60,0.2,0.2,0.2,0.55,0.72,0.90,-0.13,0.05,0.23,-4.73,0.07,5.03,0.001,0.001
6,Northern Great Plains,7.54,4.10,9.61,3.62,22.05,0.26,0.35,0.46,0,0.2,0.2,0.40,0.55,0.71,-0.05,0.08,0.22,-0.68,1.64,4.47,0.001,0.001
7,Northwest,8.97,5.30,10.56,3.20,18.47,-0.34,-0.04,0.24,-0.2,0,0.2,-0.20,0.19,0.56,0.10,0.33,0.53,-2.37,3.49,7.72,0.008,0.002
8,Southeast,13.56,7.90,16.21,3.22,19.77,0.42,0.51,0.61,0,0.2,0.2,0.82,0.98,1.16,0.11,0.22,0.34,1.34,3.74,6.31,0.001,0.001
9,Southern Great Plains,12.35,6.60,15.74,3.62,25.84,0.74,0.85,0.97,0.2,0.5,0.8,0.83,1.08,1.35,-0.24,0.06,0.42,-4.93,4.36,17.44,0.001,0.001
10,Southwest,8.69,4.60,11.95,4.44,35.88,-0.18,0.06,0.29,0,0.2,0.2,-0.70,-0.21,0.28,-0.55,-0.26,0.03,-12.23,-6.02,-0.34,0.001,0.001