,regions,ks_test_p,ad_test_p,pdf_1_mean,pdf_1_median,pdf_1_std,pdf_1_skew,pdf_1_kurt,mean_low,mean_mid,mean_high,median_low,median_mid,median_high,std_diff_low,std_diff_mid,std_diff_high,skew_diff_low,skew_diff_mid,skew_diff_high,kurt_diff_low,kurt_diff_mid,kurt_diff_high
0.00,1.00,0.00,0.00,8.96,5.30,10.49,3.47,25.99,0.38,0.46,0.53,0.30,0.30,0.30,2.13,2.27,2.43,-0.27,0.11,0.50,-10.61,0.71,10.41
1.00,2.00,0.00,0.00,12.13,7.10,14.37,3.11,16.90,0.23,0.35,0.48,0.00,0.00,0.30,3.12,3.41,3.69,0.45,0.79,1.11,7.77,14.17,21.14
2.00,3.00,0.00,0.00,14.16,7.90,18.17,3.73,26.45,0.53,0.75,0.96,0.00,0.20,0.50,5.10,5.60,6.18,-0.25,0.50,1.63,-5.55,16.82,53.35
3.00,4.00,0.01,0.00,13.81,6.90,19.58,4.41,38.53,0.27,0.98,1.62,0.20,0.70,1.30,5.37,6.78,8.14,-1.92,-0.40,0.98,-41.86,-11.17,16.23
4.00,5.00,0.00,0.00,7.99,4.60,9.43,3.31,20.31,0.41,0.48,0.56,0.20,0.20,0.20,1.99,2.12,2.26,-0.36,-0.06,0.20,-8.41,-1.47,3.25
5.00,6.00,0.00,0.00,10.37,5.80,12.58,3.18,17.31,0.49,0.57,0.65,0.30,0.30,0.30,2.87,2.99,3.13,-0.12,0.02,0.16,-1.94,0.49,2.85
6.00,7.00,0.00,0.00,10.89,6.60,12.57,3.09,17.22,0.56,0.66,0.76,0.30,0.30,0.30,2.37,2.56,2.73,-0.28,-0.08,0.11,-4.73,-1.38,2.30
7.00,8.00,0.00,0.00,13.79,8.10,16.06,2.85,13.79,0.59,0.74,0.89,0.30,0.50,0.50,3.12,3.35,3.61,-0.18,-0.03,0.15,-2.63,-0.33,2.29
8.00,9.00,0.00,0.00,7.23,3.80,9.37,4.01,33.64,0.36,0.45,0.54,0.30,0.30,0.30,2.50,2.68,2.86,-1.00,-0.30,0.22,-31.36,-8.36,6.64
9.00,10.00,0.00,0.00,8.90,4.80,11.02,3.30,18.46,0.26,0.40,0.55,0.00,0.30,0.30,2.32,2.58,2.84,-0.36,-0.03,0.28,-5.83,0.23,5.57
10.00,11.00,0.00,0.00,13.13,7.10,16.99,6.33,216.74,1.02,1.22,1.41,0.50,0.50,0.80,4.75,5.17,5.61,-7.92,-2.61,0.97,-490.07,-184.10,25.71
11.00,12.00,0.00,0.00,5.19,3.30,5.68,3.28,17.85,-0.02,0.06,0.14,0.00,0.00,0.30,0.20,0.34,0.47,-0.47,-0.16,0.12,-5.87,-1.08,3.06
12.00,13.00,0.05,0.05,6.38,3.80,7.30,3.36,18.70,-0.23,-0.11,0.03,0.00,0.00,0.00,0.68,0.93,1.22,-0.03,0.53,1.14,0.73,10.65,22.43
13.00,14.00,0.07,0.06,7.15,4.30,8.50,3.35,17.51,0.04,0.37,0.67,-0.20,0.00,0.30,1.17,1.67,2.11,-0.94,-0.52,-0.04,-11.25,-6.15,-0.54
14.00,15.00,0.40,0.23,5.04,3.30,5.26,5.28,135.12,-0.07,0.01,0.08,0.00,0.00,0.00,0.00,0.13,0.27,-6.02,-1.99,0.60,-305.51,-113.83,11.57
15.00,16.00,0.00,0.00,10.04,6.40,11.13,2.92,16.98,-0.36,-0.25,-0.14,-0.30,-0.30,0.00,0.76,0.96,1.15,-0.27,0.21,0.52,-11.38,0.59,7.47
16.00,17.00,0.40,0.23,12.30,6.60,16.75,4.14,31.50,-0.66,-0.36,-0.04,-0.20,0.00,0.20,2.99,3.49,4.08,-1.11,-0.50,0.08,-21.82,-10.48,0.42