,regions,ks_test_p,ad_test_p,pdf_1_mean,pdf_1_std,pdf_1_skew,pdf_1_kurt,mean_diff_low,mean_diff_mid,mean_diff_high,std_diff_low,std_diff_mid,std_diff_high,skew_diff_low,skew_diff_mid,skew_diff_high,kurt_diff_low,kurt_diff_mid,kurt_diff_high
0.00,1.00,0.00,0.00,9.06,10.59,3.38,23.70,0.38,0.45,0.51,2.15,2.29,2.43,-0.12,0.23,0.57,-5.52,4.14,14.41
1.00,2.00,0.00,0.00,12.12,14.32,3.11,16.85,0.25,0.36,0.47,3.09,3.32,3.54,0.41,0.64,0.92,6.88,11.58,17.71
2.00,3.00,0.00,0.00,14.33,18.22,3.66,25.29,0.53,0.70,0.86,5.20,5.61,6.11,0.01,0.58,1.40,-0.24,16.03,43.92
3.00,4.00,0.04,0.00,13.81,18.82,4.04,33.09,0.33,0.98,1.59,5.34,6.78,8.15,-1.40,-0.03,1.09,-34.20,-5.27,16.90
4.00,5.00,0.00,0.00,8.00,9.41,3.26,19.47,0.40,0.48,0.55,2.00,2.13,2.25,-0.26,-0.03,0.20,-6.97,-1.35,3.22
5.00,6.00,0.00,0.00,10.38,12.58,3.19,17.41,0.48,0.55,0.62,2.86,3.00,3.12,-0.10,0.03,0.17,-1.53,0.64,3.14
6.00,7.00,0.00,0.00,10.71,12.24,3.04,16.67,0.85,0.93,1.02,2.70,2.85,3.01,-0.21,-0.02,0.18,-3.41,0.00,4.06
7.00,8.00,0.00,0.00,14.11,16.33,2.81,13.54,0.39,0.51,0.64,2.92,3.13,3.34,-0.12,0.03,0.18,-2.29,0.14,2.54
8.00,9.00,0.00,0.00,7.20,9.33,3.95,31.76,0.27,0.36,0.44,2.38,2.54,2.70,-0.85,-0.26,0.19,-26.55,-6.44,6.61
9.00,10.00,0.00,0.00,9.00,11.12,3.30,18.42,0.25,0.40,0.52,2.42,2.65,2.90,-0.38,-0.08,0.20,-5.78,-0.71,4.13
10.00,11.00,0.00,0.00,13.12,17.05,5.58,163.54,0.96,1.15,1.34,4.75,5.14,5.58,-6.02,-1.91,0.76,-369.07,-132.24,24.16
11.00,12.00,0.04,0.05,5.30,5.73,3.18,16.62,-0.12,-0.04,0.03,0.11,0.23,0.36,-0.32,-0.07,0.20,-3.74,-0.05,3.87
12.00,13.00,0.00,0.00,6.42,7.41,3.47,21.31,-0.32,-0.20,-0.07,0.56,0.79,1.09,-0.24,0.38,1.01,-4.03,7.66,19.82
13.00,14.00,0.00,0.00,8.00,9.36,3.06,14.33,-0.66,-0.41,-0.18,0.41,0.80,1.19,-0.55,-0.22,0.09,-6.19,-2.40,1.00
14.00,15.00,0.44,0.25,5.07,5.34,5.16,122.20,-0.13,-0.06,0.01,-0.06,0.06,0.19,-5.58,-1.87,0.41,-273.19,-100.34,8.67
15.00,16.00,0.00,0.00,10.02,11.55,3.26,21.16,0.18,0.28,0.38,1.60,1.78,1.95,-0.42,-0.08,0.19,-11.28,-3.59,2.53
16.00,17.00,0.58,0.25,12.24,16.62,4.13,31.51,-0.61,-0.29,0.04,3.03,3.58,4.13,-1.08,-0.48,0.07,-21.70,-10.28,-0.24